experiment,run,generation,genome_size_mean,genome_size_max,displacement_mean,displacement_max,num_voxels_mean,num_voxels_max,bone_count_mean,bone_count_max,bone_prop_mean,bone_prop_max,fat_count_mean,fat_count_max,fat_prop_mean,fat_prop_max,fat2_count_mean,fat2_count_max,fat2_prop_mean,fat2_prop_max,phase_muscle_count_mean,phase_muscle_count_max,phase_muscle_prop_mean,phase_muscle_prop_max,offphase_muscle_count_mean,offphase_muscle_count_max,offphase_muscle_prop_mean,offphase_muscle_prop_max,aspect_ratio_mean,aspect_ratio_max,material_heterogeneity_mean,material_heterogeneity_max,max_limb_length_mean,max_limb_length_max,symmetry_score_mean,symmetry_score_max,uniqueness_mean,uniqueness_max,fitness_mean,fitness_max,age_mean,age_max,dominated_disp_nov_mean,dominated_disp_nov_max,novelty_mean,novelty_max,novelty_weighted_mean,novelty_weighted_max
evobots,1,1,301.0,301.0,-0.449563888756554,10.693959159695805,8.01,25.0,1.7,15.0,0.1949,0.88,1.73,12.0,0.2012,0.83,,,,,2.64,9.0,0.3321,0.8,1.94,8.0,0.2705,0.67,1.0,1.0,0.1608,0.2,1.53,4.0,0.6736,1.0,0.9707483941703638,1.1520366895433742,-0.449563888756554,10.693959159695805,1.0,1.0,26.11,83.0,0.5437287700176239,0.7775793671607971,-0.2251097009551212,7.383153304550356
evobots,1,2,301.0,308.0,3.134621995517025,33.71049999650286,7.99,18.0,1.52,15.0,0.1605,0.88,1.48,12.0,0.1644,0.8,,,,,3.04,10.0,0.3953,0.75,1.95,6.0,0.2786,0.67,1.0,1.0,0.16,0.2,1.54,4.0,0.6784,1.0,0.9630947317767728,1.187340988878422,3.134621995517025,33.71049999650286,1.51,2.0,27.71,90.0,0.5169597381353378,0.8206348419189453,1.916164230883056,22.577393148875515
evobots,1,3,301.11,308.0,4.75570529971767,33.71049999650286,8.46,19.0,1.74,15.0,0.1734,0.88,1.57,12.0,0.1602,0.67,,,,,3.14,10.0,0.3972,0.75,2.01,6.0,0.2685,0.67,1.0,1.0,0.1604,0.2,1.5,4.0,0.6712,1.0,0.9344214504618154,1.1358458966014786,4.75570529971767,33.71049999650286,1.92,3.0,27.5,86.0,0.4989543806016445,0.8142857551574707,2.7795735769470284,21.50478132581541
evobots,1,4,301.25,311.0,5.785501717372612,33.71049999650286,8.88,19.0,1.5,10.0,0.1629,0.75,1.76,10.0,0.1712999999999999,0.75,,,,,3.41,10.0,0.3966,0.75,2.21,6.0,0.268,0.57,1.0,1.0,0.1656,0.2,1.56,4.0,0.6456000000000001,1.0,0.9397561726403432,1.2119439095814697,5.785501717372612,33.71049999650286,2.26,4.0,24.31,89.0,0.5174448747187853,0.817727267742157,3.3612657405617936,20.83057397816449
evobots,1,5,301.51,311.0,6.693016713621128,33.71049999650286,9.28,19.0,1.73,12.0,0.1719,0.8,1.76,10.0,0.1751,0.75,,,,,3.45,10.0,0.3829,0.75,2.34,5.0,0.2683,0.5,1.0,1.0,0.1664,0.2,1.67,4.0,0.636,1.0,0.9296216324876612,1.1310557077602532,6.693016713621128,33.71049999650286,2.65,5.0,22.39,95.0,0.5323398113250732,0.7561507821083069,3.880458787081353,16.681588605857858
evobots,1,6,301.7,315.0,8.597643918680939,34.711917811809634,9.59,19.0,1.75,9.0,0.1802,0.75,1.64,10.0,0.1599,0.62,,,,,3.7,10.0,0.3845,0.75,2.5,5.0,0.2737,0.5,1.0,1.0,0.1687999999999999,0.2,1.77,4.0,0.608,1.0,0.9361779159505612,1.1374177734360444,8.597643918680939,34.711917811809634,2.91,6.0,21.91,91.0,0.5343817242980003,0.868055522441864,4.937068943216594,23.520078062468656
evobots,1,7,301.89,315.0,9.14507727575737,34.711917811809634,9.94,20.0,2.17,14.0,0.2110999999999999,0.82,1.51,10.0,0.1399,0.58,,,,,3.68,10.0,0.3762,0.8,2.58,7.0,0.2707,0.6,1.0,1.0,0.1724,0.2,1.74,4.0,0.5968,0.92,0.9353605738577476,1.1578644549508377,9.14507727575737,34.711917811809634,3.01,7.0,19.73,85.0,0.5217417735606432,0.7458333373069763,4.716782745086146,19.305062308508727
evobots,1,8,301.97,315.0,10.909280385265374,34.711917811809634,10.3,20.0,2.46,14.0,0.2297,0.82,1.54,7.0,0.1414,0.67,,,,,3.71,10.0,0.3671,0.75,2.59,5.0,0.26,0.5,1.0,1.0,0.1748,0.2,1.76,4.0,0.6032,1.0,0.9155862944227942,1.1913610738142824,10.909280385265374,34.711917811809634,3.28,8.0,20.84,86.0,0.4972405653446913,0.7523809671401978,5.406756900425491,23.07963731352576
evobots,1,9,301.46,315.0,10.336289803516488,34.711917811809634,10.1,19.0,2.26,14.0,0.2151,0.82,1.61,7.0,0.1519,0.86,,,,,3.68,10.0,0.3726,0.75,2.55,6.0,0.2588,0.5,1.0,1.0,0.1736,0.2,1.72,4.0,0.6144,1.0,0.9325133271102872,1.2088786340703737,10.336289803516488,34.711917811809634,3.64,9.0,20.76,77.0,0.5091885687783361,0.7866666913032532,5.129858608905758,20.920129511279765
evobots,1,10,301.7,315.0,11.131669599315469,34.711917811809634,9.5,19.0,2.03,9.0,0.2117,0.75,1.36,7.0,0.1225,0.58,,,,,3.55,8.0,0.3822,0.75,2.56,7.0,0.2818,0.67,1.0,1.0,0.1716,0.2,1.49,4.0,0.6368,1.0,0.9174210855155832,1.146380782295854,11.131669599315469,34.711917811809634,3.94,10.0,21.32,70.0,0.4738096544146538,0.8850000500679016,5.044518744033894,16.266317200158575
evobots,1,11,302.39,319.0,11.75896757833693,34.711917811809634,10.03,19.0,2.15,8.0,0.2115,0.75,1.5,7.0,0.1315,0.58,,,,,3.75,8.0,0.3843,0.75,2.63,7.0,0.2707,0.67,1.0,1.0,0.1744,0.2,1.63,4.0,0.608,0.92,0.9198419268205952,1.1453257752201134,11.75896757833693,34.711917811809634,4.2,11.0,20.81,92.0,0.4697609704732894,0.8077777624130249,5.398020812852769,24.610804797972094
evobots,1,12,302.3,319.0,11.9003248951238,34.711917811809634,9.72,19.0,2.07,9.0,0.2011,0.75,1.5,7.0,0.1399,0.58,,,,,3.62,8.0,0.3827,0.75,2.53,7.0,0.2752,0.67,1.0,1.0,0.172,0.2,1.67,4.0,0.6208,0.92,0.9209949829838188,1.1450149479854423,11.9003248951238,34.711917811809634,4.21,12.0,19.5,67.0,0.4696328163146973,0.7363635897636414,5.394914454197394,20.73417269048841
evobots,1,13,302.67,319.0,12.2873915515912,38.44632238608915,10.12,20.0,2.25,15.0,0.204,0.75,1.58,9.0,0.1513,0.67,,,,,3.78,10.0,0.3854999999999999,0.75,2.51,6.0,0.2577,0.67,1.0,1.0,0.1756,0.2,1.66,4.0,0.612,0.92,0.91993789149152,1.2021798786451896,12.2873915515912,38.44632238608915,4.15,13.0,16.64,75.0,0.486991199851036,0.875,5.554085686875712,25.339622155960782
evobots,1,14,303.09,321.0,11.930190614817564,38.44632238608915,9.85,20.0,2.31,15.0,0.2206,0.75,1.42,9.0,0.1413,0.67,,,,,3.71,10.0,0.3817,0.75,2.41,6.0,0.2552,0.67,1.0,1.0,0.1736,0.2,1.7,4.0,0.6215999999999999,0.92,0.9224028885032264,1.1973910524859253,11.930190614817564,38.44632238608915,4.4,14.0,17.04,81.0,0.4919331845641136,0.8999999761581421,5.530558690313899,25.601755922239096
evobots,1,15,302.82,321.0,12.86835769624742,38.44632238608915,9.65,21.0,1.81,9.0,0.1918,0.9,1.52,12.0,0.1371,0.71,,,,,3.76,8.0,0.3971,0.75,2.56,6.0,0.2729,0.67,1.0,1.0,0.1716,0.2,1.63,4.0,0.6168,0.92,0.9438964609213812,1.1976957272798812,12.86835769624742,38.44632238608915,4.61,15.0,17.47,85.0,0.4755661265552044,0.8809524774551392,5.79512275409395,25.689133844331867
evobots,1,16,302.53,315.0,12.878073148572971,38.44632238608915,9.54,19.0,1.84,9.0,0.1957,0.9,1.22,7.0,0.1168999999999999,0.67,,,,,3.85,8.0,0.3994,0.75,2.63,6.0,0.2869,0.67,1.0,1.0,0.168,0.2,1.71,4.0,0.6208,0.92,0.9335982896762404,1.2233156669958902,12.878073148572971,38.44632238608915,4.43,16.0,16.53,84.0,0.4577940887212753,0.8111110925674438,5.575025630740631,25.689133844331867
evobots,1,17,302.62,315.0,13.538909471954511,38.44632238608915,9.83,19.0,1.99,9.0,0.2127,0.9,1.35,8.0,0.1257,0.83,,,,,3.9,8.0,0.3887,0.75,2.59,6.0,0.2722,0.67,1.0,1.0,0.1732,0.2,1.66,4.0,0.6136,0.92,0.9285158879162068,1.1741636523733812,13.538909471954511,38.44632238608915,4.6,17.0,16.06,78.0,0.4760480162501335,0.8166666030883789,6.030464746789226,25.689133844331867
evobots,1,18,302.89,315.0,12.87839136077394,38.44632238608915,10.04,19.0,2.06,9.0,0.2109,0.9,1.34,8.0,0.12,0.6,,,,,4.02,9.0,0.3991,0.75,2.62,6.0,0.2695,0.5,1.0,1.0,0.1756,0.2,1.67,4.0,0.6096,0.92,0.911310938318092,1.074711642720485,12.87839136077394,38.44632238608915,4.95,18.0,18.9,85.0,0.4557706632092595,0.7727273106575012,5.801976786492106,25.689133844331867
evobots,1,19,302.95,313.0,13.166269670954977,38.44632238608915,9.9,19.0,1.84,9.0,0.1813,0.9,1.44,8.0,0.1358,0.6,,,,,4.0,9.0,0.4083,0.75,2.62,6.0,0.2743,0.67,1.0,1.0,0.176,0.2,1.59,4.0,0.6103999999999999,0.92,0.9156816027761004,1.1300175860084152,13.166269670954977,38.44632238608915,4.87,18.0,17.96,80.0,0.4434993643313646,0.8399999737739563,5.601980894723469,25.601755922239096
evobots,1,20,302.69,313.0,12.519712868361216,38.44632238608915,9.63,19.0,1.66,6.0,0.1757,0.67,1.51,8.0,0.1467,0.6,,,,,3.91,13.0,0.4041,0.8,2.55,6.0,0.2727,0.67,1.0,1.0,0.1752,0.2,1.62,4.0,0.6312,1.0,0.9075490528411416,1.079685971766608,12.519712868361216,38.44632238608915,5.01,19.0,15.82,80.0,0.4646482316404581,0.7680555582046509,5.368875778387274,26.388157221074028
evobots,1,21,302.3,312.0,13.24538343554861,38.44632238608915,9.55,19.0,1.64,6.0,0.1697,0.75,1.68,8.0,0.1581,0.75,,,,,3.79,9.0,0.4025999999999999,0.75,2.44,5.0,0.2689,0.67,1.0,1.0,0.1752,0.2,1.59,4.0,0.628,1.0,0.9128404406389912,1.1709846951467882,13.24538343554861,38.44632238608915,5.34,20.0,14.82,78.0,0.4452114535868168,0.800000011920929,5.276939078833112,26.30077929898125
evobots,1,22,302.74,313.0,12.79495186065676,38.44632238608915,9.48,21.0,1.85,10.0,0.1873999999999999,0.67,1.61,8.0,0.1554,0.78,,,,,3.62,9.0,0.3893999999999999,0.75,2.4,6.0,0.2671,0.67,1.0,1.0,0.1752,0.2,1.61,4.0,0.6215999999999999,1.0,0.9187080776446452,1.1722726138366677,12.79495186065676,38.44632238608915,5.13,21.0,15.77,76.0,0.4662817836552858,0.7963636517524719,5.3589566326005045,26.038645532702947
evobots,1,23,302.23,311.0,13.15120962979326,38.44632238608915,9.63,19.0,1.74,7.0,0.1785,0.67,1.55,8.0,0.1441,0.67,,,,,3.91,11.0,0.4163,0.75,2.43,6.0,0.2598,0.5,1.0,1.0,0.1767999999999999,0.2,1.62,4.0,0.612,1.0,0.9148916222883176,1.1629475253449126,13.15120962979326,38.44632238608915,5.35,22.0,17.05,79.0,0.4480026713013649,0.800000011920929,5.464622223324741,26.038645532702947
evobots,1,24,302.17,311.0,14.075133352362146,38.44632238608915,9.45,19.0,1.89,7.0,0.2004,0.86,1.55,8.0,0.1556,0.71,,,,,3.7,11.0,0.3888,0.8,2.31,6.0,0.2545,0.5,1.0,1.0,0.1764,0.2,1.55,4.0,0.6232,0.92,0.9107894830418284,1.17695742653173,14.075133352362146,38.44632238608915,5.35,23.0,16.2,79.0,0.4298752211779356,0.8799999952316284,5.325635473273231,25.339622155960782
evobots,1,25,302.83,311.0,14.896427332894902,38.44632238608915,9.61,21.0,1.69,9.0,0.1741,0.86,1.64,10.0,0.1422,0.64,,,,,3.86,11.0,0.4107,0.8,2.42,6.0,0.272,0.67,1.0,1.0,0.1752,0.2,1.59,4.0,0.6208,0.92,0.9011287753562592,1.182470542105006,14.896427332894902,38.44632238608915,5.51,24.0,16.35,80.0,0.4125886729359627,0.8799999952316284,5.605353819485003,25.689133844331867
evobots,1,26,302.91,311.0,16.306041880929946,38.44632238608915,9.85,21.0,1.7,9.0,0.1734,0.86,1.72,8.0,0.1501,0.57,,,,,3.93,11.0,0.4027,0.8,2.5,6.0,0.2724,0.67,1.0,1.0,0.1767999999999999,0.2,1.63,4.0,0.6175999999999999,0.92,0.8866054293378386,1.1841568208740316,16.306041880929946,38.44632238608915,5.61,25.0,16.86,65.0,0.3822683330625295,0.7409090995788574,5.805406356579647,20.096939955656403
evobots,1,27,303.49,311.0,17.65694092577066,38.44632238608915,10.13,21.0,1.68,9.0,0.1612,0.67,1.73,7.0,0.1576,0.62,,,,,4.08,11.0,0.409,0.8,2.64,7.0,0.2708,0.5,1.0,1.0,0.1804,0.2,1.65,4.0,0.6056,0.92,0.8669673666499003,1.1157393677535106,17.65694092577066,38.44632238608915,5.2,26.0,14.88,54.0,0.3770775827765464,0.7708333730697632,6.118889047094976,20.79596562397796
evobots,1,28,303.86,314.0,18.84443311531233,38.44632238608915,10.73,21.0,1.9,9.0,0.177,0.71,1.81,8.0,0.1585,0.62,,,,,4.24,11.0,0.3958,0.8,2.78,7.0,0.2673,0.6,1.0,1.0,0.184,0.2,1.69,4.0,0.5816,0.84,0.8648165652556191,1.2540224666461883,18.84443311531233,38.44632238608915,5.06,27.0,12.43,47.0,0.4228299389779568,0.9200000762939452,6.971925644999235,20.446453935606872
evobots,1,29,304.34,314.0,19.104542240459047,38.44632238608915,10.72,21.0,1.69,9.0,0.1535,0.75,1.84,9.0,0.1592,0.82,,,,,4.38,11.0,0.4115,0.8,2.81,7.0,0.2742,0.5,1.0,1.0,0.1812,0.2,1.65,4.0,0.5824,0.92,0.8392971650152671,1.240214373537739,19.104542240459047,38.44632238608915,4.78,28.0,13.13,55.0,0.408159516453743,1.0399999618530271,6.7922500125603,19.10486877521014
evobots,1,30,304.23,314.0,20.057973327460267,38.44632238608915,10.8,19.0,1.77,9.0,0.1667,0.75,1.84,9.0,0.1592,0.82,,,,,4.35,11.0,0.406,0.8,2.84,8.0,0.2663,0.5,1.0,1.0,0.182,0.2,1.82,4.0,0.5752,0.84,0.8349559927195493,1.260958458296975,20.057973327460267,38.44632238608915,5.23,29.0,12.15,60.0,0.3942252820730209,1.0399999618530271,6.8872043892701775,20.705996105520484
evobots,1,31,305.22,321.0,20.60892093224805,38.44632238608915,10.56,21.0,1.71,9.0,0.1643,0.75,1.58,9.0,0.1398,0.62,,,,,4.26,11.0,0.406,0.75,3.01,8.0,0.2882,0.5,1.0,1.0,0.182,0.2,1.76,4.0,0.588,0.84,0.7895404662382333,1.2688414323581787,20.60892093224805,38.44632238608915,5.2,30.0,11.37,58.0,0.3628915348649025,0.8777777552604675,6.388701308162141,21.622879667528675
evobots,1,32,306.27,321.0,20.982426573297406,38.44632238608915,10.32,21.0,1.99,9.0,0.1901,0.75,1.36,5.0,0.1241,0.5,,,,,4.11,11.0,0.4031,0.75,2.86,8.0,0.2808,0.5,1.0,1.0,0.1844,0.2,1.68,4.0,0.5920000000000001,1.0,0.7729746760937304,1.2735341813468282,20.982426573297406,38.44632238608915,5.31,31.0,10.35,52.0,0.3431808297336101,0.855555534362793,5.789308096405002,20.68783407175773
evobots,1,33,306.64,324.0,20.144297584879205,38.44632238608915,9.78,21.0,1.86,9.0,0.1925,0.75,1.17,5.0,0.1110999999999999,0.42,,,,,3.99,11.0,0.4045,0.75,2.76,8.0,0.2907,0.67,1.0,1.0,0.1788,0.2,1.61,4.0,0.6136,1.0,0.7942365862508232,1.2544014274148434,20.144297584879205,38.44632238608915,5.69,32.0,11.47,57.0,0.3511557622253894,0.8727272748947144,5.639145029516831,23.72672689371868
evobots,1,34,306.78,324.0,19.44315637008651,38.44632238608915,9.65,20.0,2.03,10.0,0.2113,0.83,1.28,5.0,0.124,0.44,,,,,3.68,9.0,0.38,0.75,2.66,8.0,0.2825,0.67,1.0,1.0,0.1824,0.2,1.67,4.0,0.608,0.92,0.7964741107510247,1.1801195219955187,19.44315637008651,38.44632238608915,5.19,27.0,10.55,52.0,0.3388696219399571,0.9100000262260436,4.923592444592459,19.49376357707282
evobots,1,35,307.8,335.0,20.59308123724931,38.44632238608915,9.9,20.0,1.94,10.0,0.1962,0.83,1.41,6.0,0.1383,0.5,,,,,3.77,9.0,0.3818999999999999,0.67,2.78,8.0,0.2811,0.5,1.0,1.0,0.1848,0.2,1.72,4.0,0.5936,0.92,0.7707807101517699,1.2947684974610578,20.59308123724931,38.44632238608915,5.06,28.0,9.51,52.0,0.3304935840517282,0.912500023841858,5.2386882383601865,17.414361135830617
evobots,1,36,308.53,335.0,20.04892984827567,38.44632238608915,9.6,19.0,1.78,6.0,0.1908,0.83,1.39,6.0,0.1331,0.55,,,,,3.66,9.0,0.3815,0.67,2.77,8.0,0.2929,0.67,1.0,1.0,0.1812,0.2,1.59,4.0,0.5983999999999999,0.92,0.768718883167178,1.2742866054680015,20.04892984827567,38.44632238608915,5.41,29.0,10.52,58.0,0.3213316870480776,0.888888955116272,4.702504127305776,19.05867005049046
evobots,1,37,308.93,335.0,19.848440150742224,38.44632238608915,9.44,19.0,1.68,6.0,0.1761,0.75,1.13,6.0,0.1104,0.42,,,,,3.81,9.0,0.4111,0.71,2.82,6.0,0.3003,0.5,1.0,1.0,0.1792,0.2,1.61,4.0,0.6032,0.92,0.7478432600863293,1.321073810967328,19.848440150742224,38.44632238608915,5.64,30.0,12.1,61.0,0.2835816016048193,0.911111056804657,4.279930772803558,19.429212678119992
evobots,1,38,309.71,335.0,19.549210836991858,38.44632238608915,9.44,19.0,1.99,8.0,0.1984,0.67,1.18,6.0,0.118,0.83,,,,,3.63,9.0,0.3966,0.67,2.64,6.0,0.2850999999999999,0.67,1.0,1.0,0.1804,0.2,1.52,4.0,0.6008,1.0,0.7606297577213,1.1225116002874236,19.549210836991858,38.44632238608915,5.38,31.0,11.97,62.0,0.2818537925928831,0.8500000238418579,4.119895005797103,19.429212678119992
evobots,1,39,310.58,335.0,19.8972776886792,38.44632238608915,9.41,19.0,1.91,6.0,0.1981,0.8,1.27,6.0,0.1268,0.44,,,,,3.64,9.0,0.3964999999999999,0.67,2.59,6.0,0.2764,0.5,1.0,1.0,0.1848,0.2,1.51,4.0,0.596,1.0,0.7413765456080753,1.2364012901885826,19.8972776886792,38.44632238608915,5.08,32.0,12.41,62.0,0.2847276589646935,0.9600000381469728,4.213646766147694,19.985326097721405
evobots,1,40,310.58,335.0,21.115918510524683,38.44632238608915,9.79,20.0,1.86,7.0,0.1867,0.88,1.59,10.0,0.1574,0.77,,,,,3.64,9.0,0.3761,0.67,2.7,6.0,0.2774,0.5,1.0,1.0,0.1856,0.2,1.6,4.0,0.5928,1.0,0.7402188568785459,1.1693645425104755,21.115918510524683,38.44632238608915,5.12,33.0,11.31,56.0,0.2789412142708897,1.0199999809265137,4.092887922026538,17.903861254588694
evobots,1,41,310.89,335.0,21.569553433401456,38.44632238608915,9.68,20.0,1.92,8.0,0.1909,0.88,1.43,7.0,0.1407,0.62,,,,,3.72,9.0,0.3914,0.67,2.61,6.0,0.2758,0.5,1.0,1.0,0.1848,0.2,1.5,4.0,0.5912,0.92,0.731676599616709,1.0989860513062737,21.569553433401456,38.44632238608915,4.91,34.0,11.83,52.0,0.2605620435252785,0.8192307353019714,4.028775319001948,17.903861254588694
evobots,1,42,311.12,335.0,22.000339533926905,38.44632238608915,10.13,20.0,2.13,11.0,0.1929,0.88,1.24,5.0,0.1249,0.62,,,,,4.01,9.0,0.3989999999999999,0.78,2.75,5.0,0.2816,0.5,1.0,1.0,0.1835999999999999,0.2,1.51,4.0,0.5968,1.0,0.714470014007494,1.0948642119296028,22.000339533926905,38.44632238608915,5.11,35.0,11.98,46.0,0.250432653799653,0.7545455098152161,3.8875938087648256,17.997599331242153
evobots,1,43,311.28,342.0,20.62110714524017,38.44632238608915,9.84,19.0,2.17,11.0,0.2141,0.75,1.21,5.0,0.1278,0.75,,,,,3.83,9.0,0.3807,0.67,2.63,5.0,0.2753,0.5,1.0,1.0,0.1844,0.2,1.52,3.0,0.6103999999999999,1.0,0.6999510356292653,1.0795509057072057,20.62110714524017,38.44632238608915,5.4,36.0,9.31,49.0,0.2684699915722012,0.8166666030883789,3.598371169782088,17.997597766828918
evobots,1,44,311.31,342.0,21.69401459275583,38.44632238608915,9.72,19.0,1.95,8.0,0.1921,0.62,1.29,9.0,0.1285,0.75,,,,,3.81,9.0,0.3947,0.67,2.67,5.0,0.2828,0.57,1.0,1.0,0.1852,0.2,1.57,4.0,0.6088,0.92,0.6950718715613055,1.1022179482606116,21.69401459275583,38.44632238608915,5.85,37.0,12.88,53.0,0.2401667273044586,0.7636364102363586,3.677404420111252,18.93240955724509
evobots,1,45,311.78,342.0,20.12797366246597,38.44632238608915,9.84,19.0,2.12,9.0,0.2065,0.67,1.31,9.0,0.1291,0.5,,,,,3.71,9.0,0.379,0.71,2.7,6.0,0.2833,0.5,1.0,1.0,0.1835999999999999,0.2,1.5,3.0,0.608,1.0,0.7135551131336618,1.1177996378953317,20.12797366246597,38.44632238608915,5.61,38.0,9.55,48.0,0.2858983925357461,0.9600000381469728,3.455950260651008,20.05266945209938
evobots,1,46,311.37,342.0,21.14236143101145,38.44632238608915,9.87,19.0,2.13,9.0,0.2159,0.67,1.31,9.0,0.1223,0.58,,,,,3.75,9.0,0.3767,0.71,2.68,5.0,0.2832,0.6,1.0,1.0,0.1832,0.2,1.45,4.0,0.6015999999999999,1.0,0.6882110975678618,1.0840118639912242,21.14236143101145,38.44632238608915,5.78,39.0,9.97,49.0,0.2522143699228764,0.8700000047683716,3.599360255111093,20.05266945209938
evobots,1,47,311.38,342.0,22.08350243687347,38.44632238608915,9.88,20.0,1.9,8.0,0.1968,0.71,1.34,9.0,0.1277,0.5,,,,,3.83,9.0,0.3843,0.73,2.81,8.0,0.2895,0.5,1.0,1.0,0.1852,0.2,1.35,4.0,0.6048,0.92,0.6691157893473307,1.1037390426181588,22.08350243687347,38.44632238608915,6.29,40.0,9.55,51.0,0.2542400579154491,1.0,3.9315943304951735,20.511144158752288
evobots,1,48,311.07,342.0,21.053367741382484,38.44632238608915,10.08,20.0,1.99,9.0,0.2025,0.71,1.29,9.0,0.1179,0.5,,,,,3.92,9.0,0.387,0.73,2.88,8.0,0.2907,0.5,1.0,1.0,0.182,0.2,1.43,4.0,0.6072,1.0,0.6880070003912063,1.1287612896323844,21.053367741382484,38.44632238608915,5.99,31.0,10.78,47.0,0.284937420040369,0.9600000381469728,4.157060922710011,20.50077634804239
evobots,1,49,311.23,342.0,19.839096361073665,38.44632238608915,9.97,20.0,1.88,9.0,0.1883,0.75,1.33,9.0,0.1271,0.67,,,,,3.93,9.0,0.3907,0.73,2.83,8.0,0.2919,0.67,1.0,1.0,0.1816,0.2,1.47,4.0,0.6152,0.92,0.7304516593883092,1.2441889955329302,19.839096361073665,38.44632238608915,5.83,32.0,11.63,51.0,0.311651430055499,0.9600000381469728,4.1502908357867065,20.30603168776969
evobots,1,50,311.04,342.0,21.399964915737527,38.44632238608915,10.17,20.0,1.88,6.0,0.1858,0.67,1.26,9.0,0.1134999999999999,0.5,,,,,4.15,9.0,0.4106,0.73,2.88,8.0,0.2880999999999999,0.5,1.0,1.0,0.1824,0.2,1.53,4.0,0.612,0.92,0.6807755860879279,1.1154715449911998,21.399964915737527,38.44632238608915,6.14,33.0,11.96,48.0,0.2782254190742969,1.0199999809265137,4.3389868614130505,19.82861747312852
evobots,1,51,311.26,342.0,22.469639478778845,38.44632238608915,10.67,20.0,2.01,9.0,0.1846,0.7,1.43,9.0,0.1215,0.75,,,,,4.26,9.0,0.4059,0.73,2.97,8.0,0.2865,0.67,1.0,1.0,0.1828,0.2,1.51,4.0,0.5904,0.84,0.6616870762080796,1.181138352154043,22.469639478778845,38.44632238608915,6.06,34.0,10.16,45.0,0.2730710227042436,1.1600000858306885,4.35696376630408,18.036200172361013
evobots,1,52,311.01,342.0,22.17939768854404,38.44632238608915,10.82,21.0,2.13,9.0,0.1974,0.62,1.47,9.0,0.1208,0.56,,,,,4.28,9.0,0.4025999999999999,0.73,2.94,7.0,0.2771,0.5,1.0,1.0,0.1856,0.2,1.5,4.0,0.5920000000000001,0.84,0.6672250471519634,1.1420695282824704,22.17939768854404,38.44632238608915,6.39,35.0,9.43,45.0,0.2727518519759178,1.0199999809265137,3.940866873805197,18.036201641361664
evobots,1,53,311.63,342.0,22.19850914242251,38.44632238608915,10.83,20.0,2.3,9.0,0.2178999999999999,0.86,1.56,9.0,0.1325,0.56,,,,,4.11,9.0,0.3804999999999999,0.73,2.86,7.0,0.267,0.45,1.0,1.0,0.184,0.2,1.51,4.0,0.5952,0.84,0.6871908859340372,1.0839082390248072,22.19850914242251,38.44632238608915,5.55,31.0,10.33,42.0,0.2652169734239578,0.9899999499320984,3.871022723801279,17.364044235448443
evobots,1,54,311.33,342.0,21.99289485684806,38.44632238608915,10.67,19.0,2.07,6.0,0.2003,0.86,1.56,9.0,0.135,0.62,,,,,4.09,9.0,0.3825,0.73,2.95,7.0,0.2805999999999999,0.67,1.0,1.0,0.1832,0.2,1.59,4.0,0.6008,0.92,0.7029348036238222,1.1915311102717283,21.99289485684806,38.44632238608915,5.6,32.0,8.84,41.0,0.27379887342453,1.0499999523162842,3.385520341128857,17.997597766828918
evobots,1,55,311.08,342.0,22.133574889208063,38.44632238608915,10.54,19.0,2.05,6.0,0.2042,0.86,1.5,9.0,0.1338,0.83,,,,,4.0,9.0,0.3746,0.73,2.99,7.0,0.2857,0.54,1.0,1.0,0.1808,0.2,1.57,4.0,0.5952,1.0,0.7001361116467247,1.1911248782255677,22.133574889208063,38.44632238608915,5.18,33.0,10.36,46.0,0.2566400159150362,0.9714285731315612,3.2544337640298915,16.80563004665911
evobots,1,56,311.7,342.0,21.70640915029832,38.44632238608915,10.8,19.0,2.16,7.0,0.2135,0.8,1.58,9.0,0.135,0.62,,,,,4.05,9.0,0.3677,0.62,3.01,7.0,0.2817,0.5,1.0,1.0,0.1832,0.2,1.55,4.0,0.5943999999999999,1.0,0.6924655250970688,1.1766665522499795,21.70640915029832,38.44632238608915,5.23,34.0,10.78,44.0,0.2751236798614263,1.016071319580078,3.5121975046941123,17.541640949102582
evobots,1,57,311.13,342.0,22.80013529497126,38.44632238608915,10.64,19.0,2.1,8.0,0.2027,0.83,1.43,9.0,0.122,0.5,,,,,4.12,9.0,0.3861,0.67,2.99,6.0,0.2868,0.57,1.0,1.0,0.1835999999999999,0.2,1.48,4.0,0.6024,1.0,0.6840634267159387,1.1706285547992086,22.80013529497126,38.44632238608915,5.59,35.0,12.0,48.0,0.2597925847023725,0.9142856597900392,3.885908943147141,17.48857569775836
evobots,1,58,311.0,342.0,21.502540858038152,38.44632238608915,10.57,19.0,2.18,8.0,0.209,0.67,1.57,9.0,0.1355,0.5,,,,,3.97,9.0,0.3782,0.67,2.85,6.0,0.2744999999999999,0.5,1.0,1.0,0.1824,0.2,1.45,3.0,0.6224000000000001,1.0,0.6771373363482965,1.0527584891567208,21.502540858038152,38.44632238608915,6.01,36.0,13.11,45.0,0.2471025038510561,0.8500000238418579,3.480828187638216,18.220038248937826
